#61	#74
SoilW	SoilW
26.84005556	14.93590734
26.87356944	14.7723227
26.94641958	14.39949197
26.367	14.06734404
25.49895833	13.96449909
25.35193056	13.87787035
25.182875	13.63178216
25.01748611	13.46890876
24.90226389	14.34984759
24.80783333	15.2378988
24.73494444	15.37090022
24.64093056	15.52907946
24.60059722	15.27374517
24.52361111	15.04330421
24.56263889	15.27744361
25.23247222	15.43163991
25.16151389	16.09863849
25.73193056	15.51357448
25.726625	15.1495631
25.86747222	15.47118472
27.38286111	15.19081488
27.30484722	14.87616338
26.91927778	14.66563707
26.27658333	14.51627718
25.25734722	14.90589311
24.74291667	14.77317618
24.545375	14.46791303
25.00376389	15.37459866
25.41277778	16.07872384
25.40826389	15.52723024
25.78516667	15.28540947
25.14566667	15.04401544
24.83104167	14.78427149
24.58131944	15.15582199
24.36823611	15.84998984
24.13681944	15.43861004
23.90815278	15.2893924
23.69925	15.11997561
23.51225	15.0549685
23.34695833	14.78583621
23.39104167	14.41030278
23.44823611	13.99678927
24.66690278	13.9091648
24.381125	13.49906523
24.08947222	13.9693355
23.79601389	15.88583621
23.61197222	15.39081488
23.94077778	16.18754318
24.57454167	16.14742938
24.78765278	16.40631985
24.85258741	16.41670392
24.54002778	15.77431416
24.27259722	15.68811217
25.10338889	15.08882341
24.93247222	14.5438732
24.85559722	14.22964845
25.50570833	13.84885186
25.23295833	15.65070108
24.78220833	16.06976224
24.35973611	16.112152
24.03536111	16.38953465
24.20727778	15.56336111
25.16579167	15.0519813
24.965625	14.61698842
27.45805556	14.03917903
28.18690278	13.3495631
26.92901389	12.77829709
25.9555	12.58028856
24.56209722	13.54856736
24.03668571	13.13747206
23.63124894	14.2893924
23.37233507	14.97360293
23.17150588	16.58868116
23.00741648	15.53377362
22.86868087	14.70062995
