#15	#51	#53	#60
SoilW	SoilW	SoilW	SoilW
36.43196759	18.58166667	22.54606481	19.16990741
36.47150463	18.37145833	22.30081019	18.91395833
36.54534722	18.16826389	22.0725	18.66826389
36.56875	17.97241319	21.85273148	18.40493056
36.36983796	17.79916667	21.67622685	18.14460648
35.36055556	17.62572917	21.51928241	18.00324074
34.55884259	17.51149306	21.38547786	17.99625
33.47071759	17.37993056	21.28256944	17.85212963
33.42460648	17.41763889	21.41907407	18.06766204
33.27037037	17.41769097	21.59560185	18.37784722
34.28041667	17.99376736	23.06613426	20.02300926
33.6543287	18.04538194	22.88622685	19.1305787
33.22412371	17.91805556	22.51784722	18.6393287
32.65868421	17.70095486	22.19726852	18.2387963
32.34023474	17.54996528	22.00337963	18.04675926
32.83717593	17.63786458	22.39884259	18.91342593
33.30787037	18.14419014	23.20833333	19.77273148
33.69745921	18.45378	23.23171296	19.73789352
34.69513889	18.64967391	23.12520833	19.47087963
34.73236111	18.43310764	22.71782407	18.89097222
34.28416667	18.11975694	22.550625	18.80157407
34.75333333	18.71385417	23.55497685	20.179375
34.91893519	18.77855903	23.0637037	19.28155093
34.94328704	18.61185764	22.88016204	19.11516204
34.98638298	18.95940972	23.47731481	20.11158508
35.02928241	18.92453125	23.18898148	19.50541667
35.01606481	18.55430556	22.73467593	18.90775463
34.71625	18.13894097	22.32013889	18.39076389
33.79076389	17.80119792	22.04101852	17.99337963
33.76145833	17.82973958	22.30261574	18.49372685
34.55613426	18.80194444	23.46724537	20.05916667
34.97449074	18.85892361	23.12090278	19.31715278
35.0462963	19.49178819	23.82453704	20.50731481
35.08081019	19.39987847	23.58375	20.13863426
35.12733796	19.0240625	23.06414352	19.35918981
35.10594907	18.64678819	22.59081019	18.72594907
35.15634259	18.26038194	22.15199074	18.16530093
35.19053613	17.83871528	21.70108796	17.6374537
35.00439815	17.468125	21.33097222	17.24509259
33.95851852	17.10239583	21.00388889	16.85821759
33.21655093	16.79498264	20.74393519	16.54166667
33.0325463	16.61215278	20.60715278	16.64148148
33.09013889	16.38378472	20.53569444	17.13018519
33.17564815	16.41569444	21.20273148	17.60893519
33.23094907	16.64824653	22.05509259	18.4750463
33.00412037	16.70339161	22.29490741	18.79928241
32.66738426	16.55939236	21.99344907	18.53134259
32.23064815	16.30486111	21.55236111	18.0287037
31.85393519	16.03435764	21.09368056	17.47997685
31.448125	15.72213542	20.57263889	16.93967593
31.10261574	15.42447917	20.09986111	16.41277778
30.76784722	15.16951389	19.71048611	15.98738426
30.57752315	14.93215278	19.34231481	15.59840278
30.87694444	14.90739583	19.37240741	15.87229167
32.10136574	15.50986111	20.3112037	17.1275463
31.84634259	15.31269231	19.75425926	16.52174312
31.61342593	15.08322917	19.18803241	17.5148615
31.36344907	14.83835069	18.73541667	17.06939708
31.12	14.59522569	18.32641204	14.60818627
31.01252315	14.54368056	18.06902778	14.5694213
32.39511574	14.80689236	18.18127315	15.85270833
32.11583333	14.60413194	18.21363426	15.49740741
31.91215278	14.4521875	18.08446759	15.19713262
31.80513889	14.30989583	17.94125	15.014884
31.70576389	14.20161458	17.80321759	14.90136615
32.2744213	14.26869792	18.32946759	15.33415415
32.78601852	14.48095486	19.55159722	16.33923356
34.79856481	14.52451389	19.49969907	16.29655252
35.7437963	14.57050347	19.84719907	16.58233652
34.78590278	14.57284722	19.61293981	16.3896817
32.39832192	14.47852431	19.24321759	16.08562215
32.148921	14.45826389	19.14548611	16.00524778
34.22512731	14.5240625	19.76768519	16.5169443
33.34094907	14.70920139	20.55798611	17.16688778
32.94358974	14.91038194	21.29869464	17.77604647
32.67219907	14.94798611	20.87430556	17.42702889
32.46013889	14.91652778	20.48412037	17.10614059
32.27224537	14.78378472	19.91233796	16.63590674
32.66261574	14.6503125	19.45136574	16.25680319
32.51123843	14.49420139	19.02326389	15.90473222
32.27222222	14.33434028	18.62740741	15.57917985
31.96170139	14.16902778	18.27268519	15.2874563
31.75913194	14.08998252	18.06652582	15.11791084
31.47298611	13.96935764	17.88375	14.967596
31.11743056	13.86633681	17.70275463	14.81874541
31.09565972	13.82616319	17.76687646	14.8714792
32.33829861	14.00543403	18.93703963	15.83382139
31.90309028	13.96605903	18.65827506	15.60456541
31.51892361	13.89847222	18.30962963	15.31783941
30.98148551	13.79202465	17.9791784	15.04607632
30.38295139	13.64723776	17.64710648	14.77298037
30.061875	13.53854167	17.39344907	14.56437252
29.78583333	13.49229167	17.32597222	14.50887956
29.19309028	13.39699653	17.19717593	14.40295748
28.83989583	13.32654514	17.22347222	14.42458356
28.59600694	13.28612847	17.15949074	14.37196519
28.28256944	13.16513889	16.85513889	13.94136253
27.93320611	13.00583333	16.50626761	13.60141414
26.30358685	12.84309028	16.17490741	13.56224385
24.79835338	12.64635417	15.84967593	13.29477348
24.53901643	12.51067708	15.61132867	13.0987567
27.10219697	12.47359375	15.53809524	13.03852952
30.06131713	12.77067708	16.67594907	13.97430052
26.59839352	12.91472222	16.92433584	14.17857379
25.71568287	12.89991319	16.83016317	14.10112619
25.97347585	12.85832143	16.66839243	13.96808594
26.72284722	12.77310764	16.44907407	13.78771852
26.19881944	12.67677083	16.21527778	13.59544444
